accepted_currencies,address,avg_lead_time_days,capacity_profile,certifications,city,commercial_terms_json,company_size,contact_email,country,country_code,created_at,default_currency,default_moq,deleted_at,identity_json,incoterms_supported,is_active,lead_time_profile_json,legal_name,name,onboarding_method,payment_terms_options,phone,quality_rating,region,regions_served,regions_served_macro,reliability_score,status,trading_name,updated_at,vendor_id,vendor_type,website,year_established
"[""CNY"", ""EUR"", ""USD""]","{""line1"": ""1 Industrial Park Road"", ""line2"": null, ""city"": ""Dongguan"", ""state_region"": ""Guangdong"", ""postal_code"": null, ""country_code"": ""CN"", ""lat"": null, ""lng"": null}",13.00,"{""max_monthly_units"": 15250, ""utilization_rate"": 0.59, ""min_order_value_usd"": 450}","[""IATF16949"", ""ISO9001""]",Dongguan,"{""payment_terms_default"": ""Net 30"", ""nda_willing"": true, ""engineering_support"": true, ""substitution_willing"": true, ""platform_integration_level"": ""portal_only""}",medium,rfq@dongguan-precision-machining-001.example,CN,CN,2026-04-13T05:30:00+00:00,CNY,25.00000000,,"{""external_source"": ""platform_seed"", ""external_source_id"": ""seed-vendor-001"", ""vendor_identity_key"": ""8f3982b6545a89f07635edb5f70eaac02b80a9075a6b5461540e1e2083cb0c72""}","[""EXW"", ""FOB"", ""CIF"", ""DAP""]",True,"{""prototype_days"": 8, ""pilot_days"": 15, ""production_days"": 22, ""rush_supported"": false}",Dongguan Precision Machining 001 Co. Ltd.,Dongguan Precision Machining 001,platform_seeded,"[""T/T 30% deposit, 70% before shipment"", ""Net 30""]",+10000000001,0.777000,"Guangdong, China","[""CN"", ""VN"", ""TH"", ""MY"", ""ID"", ""US"", ""CA"", ""MX"", ""DE"", ""NL"", ""BE""]",China,0.755000,GHOST,Dongguan Precision Machining 001,2026-04-13T05:30:00+00:00,ae87b37e-e860-5908-907d-32caefc1fef7,manufacturer,https://dongguan-precision-machining-001.example,2001
"[""CNY"", ""EUR"", ""USD""]","{""line1"": ""2 Industrial Park Road"", ""line2"": null, ""city"": ""Ningbo"", ""state_region"": ""Zhejiang"", ""postal_code"": null, ""country_code"": ""CN"", ""lat"": null, ""lng"": null}",14.00,"{""max_monthly_units"": 15500, ""utilization_rate"": 0.63, ""min_order_value_usd"": 600}","[""IATF16949"", ""ISO9001""]",Ningbo,"{""payment_terms_default"": ""T/T 30/70"", ""nda_willing"": true, ""engineering_support"": true, ""substitution_willing"": true, ""platform_integration_level"": ""portal_only""}",large,rfq@ningbo-sheet-metal-works-002.example,CN,CN,2026-04-13T05:30:00+00:00,CNY,50.00000000,,"{""external_source"": ""platform_seed"", ""external_source_id"": ""seed-vendor-002"", ""vendor_identity_key"": ""455825d7139c194cc13b40de6037abc6e2bad3f0e482f0d5ac3a69aed097b585""}","[""EXW"", ""FOB"", ""CIF"", ""DAP""]",True,"{""prototype_days"": 9, ""pilot_days"": 16, ""production_days"": 23, ""rush_supported"": false}",Ningbo Sheet Metal Works 002 Co. Ltd.,Ningbo Sheet Metal Works 002,platform_seeded,"[""T/T 30% deposit, 70% before shipment"", ""Net 30""]",+10000000002,0.794000,"Zhejiang, China","[""CN"", ""VN"", ""TH"", ""MY"", ""ID"", ""US"", ""CA"", ""MX"", ""DE"", ""NL"", ""BE""]",China,0.770000,GHOST,Ningbo Sheet Metal Works 002,2026-04-13T05:30:00+00:00,4fca0147-42d6-5d59-9cae-d131d641b279,contract_manufacturer,https://ningbo-sheet-metal-works-002.example,2002
"[""CNY"", ""EUR"", ""USD""]","{""line1"": ""3 Industrial Park Road"", ""line2"": null, ""city"": ""Suzhou"", ""state_region"": ""Jiangsu"", ""postal_code"": null, ""country_code"": ""CN"", ""lat"": null, ""lng"": null}",15.00,"{""max_monthly_units"": 15750, ""utilization_rate"": 0.67, ""min_order_value_usd"": 750}","[""IATF16949"", ""ISO9001""]",Suzhou,"{""payment_terms_default"": ""Net 30"", ""nda_willing"": true, ""engineering_support"": false, ""substitution_willing"": true, ""platform_integration_level"": ""portal_only""}",small,rfq@suzhou-metal-forming-003.example,CN,CN,2026-04-13T05:30:00+00:00,CNY,100.00000000,,"{""external_source"": ""platform_seed"", ""external_source_id"": ""seed-vendor-003"", ""vendor_identity_key"": ""086bc527dee155148e0e3dcf766cc3f6a2c56d5bb41841f749bea3baac4dc21a""}","[""EXW"", ""FOB"", ""CIF"", ""DAP""]",True,"{""prototype_days"": 10, ""pilot_days"": 17, ""production_days"": 24, ""rush_supported"": true}",Suzhou Metal Forming 003 Co. Ltd.,Suzhou Metal Forming 003,platform_seeded,"[""T/T 30% deposit, 70% before shipment"", ""Net 30""]",+10000000003,0.811000,"Jiangsu, China","[""CN"", ""VN"", ""TH"", ""MY"", ""ID"", ""US"", ""CA"", ""MX"", ""DE"", ""NL"", ""BE""]",China,0.785000,GHOST,Suzhou Metal Forming 003,2026-04-13T05:30:00+00:00,7adfb532-aa87-5e68-b988-cd40ab1bbf39,manufacturer,https://suzhou-metal-forming-003.example,2003
"[""CNY"", ""EUR"", ""USD""]","{""line1"": ""4 Industrial Park Road"", ""line2"": null, ""city"": ""Qingdao"", ""state_region"": ""Shandong"", ""postal_code"": null, ""country_code"": ""CN"", ""lat"": null, ""lng"": null}",16.00,"{""max_monthly_units"": 16000, ""utilization_rate"": 0.71, ""min_order_value_usd"": 900}","[""ISO9001""]",Qingdao,"{""payment_terms_default"": ""T/T 30/70"", ""nda_willing"": true, ""engineering_support"": true, ""substitution_willing"": false, ""platform_integration_level"": ""portal_only""}",medium,rfq@qingdao-casting-foundry-004.example,CN,CN,2026-04-13T05:30:00+00:00,CNY,10.00000000,,"{""external_source"": ""platform_seed"", ""external_source_id"": ""seed-vendor-004"", ""vendor_identity_key"": ""4594c5316f6fc7d51f207d1d6b01103364e2e676cbc221898984d12077f62e35""}","[""EXW"", ""FOB"", ""CIF"", ""DAP""]",True,"{""prototype_days"": 11, ""pilot_days"": 18, ""production_days"": 25, ""rush_supported"": false}",Qingdao Casting Foundry 004 Co. Ltd.,Qingdao Casting Foundry 004,platform_seeded,"[""T/T 30% deposit, 70% before shipment"", ""Net 30""]",+10000000004,0.828000,"Shandong, China","[""CN"", ""VN"", ""TH"", ""MY"", ""ID"", ""US"", ""CA"", ""MX"", ""DE"", ""NL"", ""BE""]",China,0.800000,GHOST,Qingdao Casting Foundry 004,2026-04-13T05:30:00+00:00,9b8ab2a1-f14f-5771-8542-b39dbff54429,manufacturer,https://qingdao-casting-foundry-004.example,2004
"[""CNY"", ""EUR"", ""USD""]","{""line1"": ""5 Industrial Park Road"", ""line2"": null, ""city"": ""Dongguan"", ""state_region"": ""Guangdong"", ""postal_code"": null, ""country_code"": ""CN"", ""lat"": null, ""lng"": null}",17.00,"{""max_monthly_units"": 16250, ""utilization_rate"": 0.75, ""min_order_value_usd"": 1050}","[""ISO9001""]",Dongguan,"{""payment_terms_default"": ""Net 30"", ""nda_willing"": true, ""engineering_support"": true, ""substitution_willing"": true, ""platform_integration_level"": ""portal_only""}",large,rfq@dongguan-plastics-molding-005.example,CN,CN,2026-04-13T05:30:00+00:00,CNY,25.00000000,,"{""external_source"": ""platform_seed"", ""external_source_id"": ""seed-vendor-005"", ""vendor_identity_key"": ""42e49c6be7565ee5f2b5f9594f6bf6fa33b6c408c63e07a043683f94a08b5ff4""}","[""EXW"", ""FOB"", ""CIF"", ""DAP""]",True,"{""prototype_days"": 12, ""pilot_days"": 19, ""production_days"": 26, ""rush_supported"": false}",Dongguan Plastics Molding 005 Co. Ltd.,Dongguan Plastics Molding 005,platform_seeded,"[""T/T 30% deposit, 70% before shipment"", ""Net 30""]",+10000000005,0.845000,"Guangdong, China","[""CN"", ""VN"", ""TH"", ""MY"", ""ID"", ""US"", ""CA"", ""MX"", ""DE"", ""NL"", ""BE""]",China,0.815000,GHOST,Dongguan Plastics Molding 005,2026-04-13T05:30:00+00:00,ac87d151-c8c9-52ac-b6c0-9c335f0b7552,manufacturer,https://dongguan-plastics-molding-005.example,2005
"[""CNY"", ""EUR"", ""USD""]","{""line1"": ""6 Industrial Park Road"", ""line2"": null, ""city"": ""Ningbo"", ""state_region"": ""Zhejiang"", ""postal_code"": null, ""country_code"": ""CN"", ""lat"": null, ""lng"": null}",18.00,"{""max_monthly_units"": 16500, ""utilization_rate"": 0.79, ""min_order_value_usd"": 1200}","[""ISO9001"", ""REACH"", ""ROHS"", ""UL""]",Ningbo,"{""payment_terms_default"": ""T/T 30/70"", ""nda_willing"": true, ""engineering_support"": false, ""substitution_willing"": true, ""platform_integration_level"": ""portal_only""}",small,rfq@ningbo-electronics-fabrication-006.example,CN,CN,2026-04-13T05:30:00+00:00,CNY,50.00000000,,"{""external_source"": ""platform_seed"", ""external_source_id"": ""seed-vendor-006"", ""vendor_identity_key"": ""49fecfa2fb9f119c4f0efcb9745989b4ecb149b0c81b03c9c24e83e529da0cc3""}","[""EXW"", ""FOB"", ""CIF"", ""DAP""]",True,"{""prototype_days"": 13, ""pilot_days"": 20, ""production_days"": 27, ""rush_supported"": true}",Ningbo Electronics Fabrication 006 Co. Ltd.,Ningbo Electronics Fabrication 006,platform_seeded,"[""T/T 30% deposit, 70% before shipment"", ""Net 30""]",+10000000006,0.862000,"Zhejiang, China","[""CN"", ""VN"", ""TH"", ""MY"", ""ID"", ""US"", ""CA"", ""MX"", ""DE"", ""NL"", ""BE""]",China,0.830000,GHOST,Ningbo Electronics Fabrication 006,2026-04-13T05:30:00+00:00,9ad53170-0117-518b-a5c5-a6aa45f79d96,contract_manufacturer,https://ningbo-electronics-fabrication-006.example,2006
"[""CNY"", ""EUR"", ""USD""]","{""line1"": ""7 Industrial Park Road"", ""line2"": null, ""city"": ""Suzhou"", ""state_region"": ""Jiangsu"", ""postal_code"": null, ""country_code"": ""CN"", ""lat"": null, ""lng"": null}",19.00,"{""max_monthly_units"": 16750, ""utilization_rate"": 0.83, ""min_order_value_usd"": 1350}","[""CE"", ""ISO9001"", ""UL""]",Suzhou,"{""payment_terms_default"": ""Net 30"", ""nda_willing"": true, ""engineering_support"": true, ""substitution_willing"": true, ""platform_integration_level"": ""portal_only""}",medium,rfq@suzhou-electrical-assembly-007.example,CN,CN,2026-04-13T05:30:00+00:00,CNY,100.00000000,,"{""external_source"": ""platform_seed"", ""external_source_id"": ""seed-vendor-007"", ""vendor_identity_key"": ""148917f2f597409f20c0244fac0de0ec48259f8de93236e04b00d19ee698ad7c""}","[""EXW"", ""FOB"", ""CIF"", ""DAP""]",True,"{""prototype_days"": 14, ""pilot_days"": 21, ""production_days"": 28, ""rush_supported"": false}",Suzhou Electrical Assembly 007 Co. Ltd.,Suzhou Electrical Assembly 007,platform_seeded,"[""T/T 30% deposit, 70% before shipment"", ""Net 30""]",+10000000007,0.879000,"Jiangsu, China","[""CN"", ""VN"", ""TH"", ""MY"", ""ID"", ""US"", ""CA"", ""MX"", ""DE"", ""NL"", ""BE""]",China,0.845000,GHOST,Suzhou Electrical Assembly 007,2026-04-13T05:30:00+00:00,bba2a3b8-3b0d-51d5-a49e-3ae4a25f8702,contract_manufacturer,https://suzhou-electrical-assembly-007.example,2007
"[""CNY"", ""EUR"", ""USD""]","{""line1"": ""8 Industrial Park Road"", ""line2"": null, ""city"": ""Qingdao"", ""state_region"": ""Shandong"", ""postal_code"": null, ""country_code"": ""CN"", ""lat"": null, ""lng"": null}",20.00,"{""max_monthly_units"": 17000, ""utilization_rate"": 0.55, ""min_order_value_usd"": 300}","[""IATF16949"", ""ISO9001""]",Qingdao,"{""payment_terms_default"": ""T/T 30/70"", ""nda_willing"": true, ""engineering_support"": true, ""substitution_willing"": false, ""platform_integration_level"": ""portal_only""}",large,rfq@qingdao-precision-machining-008.example,CN,CN,2026-04-13T05:30:00+00:00,CNY,10.00000000,,"{""external_source"": ""platform_seed"", ""external_source_id"": ""seed-vendor-008"", ""vendor_identity_key"": ""f597d5ac9343aa777bafe563c0681cfd2f052c619494c66fc739d2f14985438c""}","[""EXW"", ""FOB"", ""CIF"", ""DAP""]",True,"{""prototype_days"": 7, ""pilot_days"": 22, ""production_days"": 29, ""rush_supported"": false}",Qingdao Precision Machining 008 Co. Ltd.,Qingdao Precision Machining 008,platform_seeded,"[""T/T 30% deposit, 70% before shipment"", ""Net 30""]",+10000000008,0.896000,"Shandong, China","[""CN"", ""VN"", ""TH"", ""MY"", ""ID"", ""US"", ""CA"", ""MX"", ""DE"", ""NL"", ""BE""]",China,0.860000,GHOST,Qingdao Precision Machining 008,2026-04-13T05:30:00+00:00,b2c1ef01-c27e-5b68-8b94-475541ca5852,manufacturer,https://qingdao-precision-machining-008.example,2008
"[""CNY"", ""EUR"", ""USD""]","{""line1"": ""9 Industrial Park Road"", ""line2"": null, ""city"": ""Dongguan"", ""state_region"": ""Guangdong"", ""postal_code"": null, ""country_code"": ""CN"", ""lat"": null, ""lng"": null}",21.00,"{""max_monthly_units"": 17250, ""utilization_rate"": 0.59, ""min_order_value_usd"": 450}","[""IATF16949"", ""ISO9001""]",Dongguan,"{""payment_terms_default"": ""Net 30"", ""nda_willing"": true, ""engineering_support"": false, ""substitution_willing"": true, ""platform_integration_level"": ""portal_only""}",small,rfq@dongguan-sheet-metal-works-009.example,CN,CN,2026-04-13T05:30:00+00:00,CNY,25.00000000,,"{""external_source"": ""platform_seed"", ""external_source_id"": ""seed-vendor-009"", ""vendor_identity_key"": ""9b13bfbd048b96cff2416527a83e90b4b430eab3ee884774ffd716bdfb1fc593""}","[""EXW"", ""FOB"", ""CIF"", ""DAP""]",True,"{""prototype_days"": 8, ""pilot_days"": 23, ""production_days"": 30, ""rush_supported"": true}",Dongguan Sheet Metal Works 009 Co. Ltd.,Dongguan Sheet Metal Works 009,platform_seeded,"[""T/T 30% deposit, 70% before shipment"", ""Net 30""]",+10000000009,0.760000,"Guangdong, China","[""CN"", ""VN"", ""TH"", ""MY"", ""ID"", ""US"", ""CA"", ""MX"", ""DE"", ""NL"", ""BE""]",China,0.875000,GHOST,Dongguan Sheet Metal Works 009,2026-04-13T05:30:00+00:00,9d47e34c-42b5-57f5-adee-54c14fd9317a,contract_manufacturer,https://dongguan-sheet-metal-works-009.example,2009
"[""CNY"", ""EUR"", ""USD""]","{""line1"": ""10 Industrial Park Road"", ""line2"": null, ""city"": ""Ningbo"", ""state_region"": ""Zhejiang"", ""postal_code"": null, ""country_code"": ""CN"", ""lat"": null, ""lng"": null}",22.00,"{""max_monthly_units"": 17500, ""utilization_rate"": 0.63, ""min_order_value_usd"": 600}","[""IATF16949"", ""ISO9001""]",Ningbo,"{""payment_terms_default"": ""T/T 30/70"", ""nda_willing"": true, ""engineering_support"": true, ""substitution_willing"": true, ""platform_integration_level"": ""portal_only""}",medium,rfq@ningbo-metal-forming-010.example,CN,CN,2026-04-13T05:30:00+00:00,CNY,50.00000000,,"{""external_source"": ""platform_seed"", ""external_source_id"": ""seed-vendor-010"", ""vendor_identity_key"": ""26e49607902872e93652760fade314e7ee6ce38d40cb1e873f945f97846fac55""}","[""EXW"", ""FOB"", ""CIF"", ""DAP""]",True,"{""prototype_days"": 9, ""pilot_days"": 14, ""production_days"": 31, ""rush_supported"": false}",Ningbo Metal Forming 010 Co. Ltd.,Ningbo Metal Forming 010,platform_seeded,"[""T/T 30% deposit, 70% before shipment"", ""Net 30""]",+10000000010,0.777000,"Zhejiang, China","[""CN"", ""VN"", ""TH"", ""MY"", ""ID"", ""US"", ""CA"", ""MX"", ""DE"", ""NL"", ""BE""]",China,0.890000,GHOST,Ningbo Metal Forming 010,2026-04-13T05:30:00+00:00,e197bc75-dcfa-5fdd-ace6-245d0623a05f,manufacturer,https://ningbo-metal-forming-010.example,2010
